Názov stanice,Cestovný poriadok,Bezbariérový prístup
Pernek pri Zohore,112,
Petrovce nad Laborcom,191,
Pezinok,120,áno
Pezinok zastávka,120,áno
Pečovská Nová Ves,188,
Piešťany,120,áno
Plavecké Podhradie,112,
Plavecký Mikuláš,112,
Plavecký Štvrtok,110,áno
Plaveč,"185,188",áno
Plavnica,185,
Plevník-Drienové,120,
Plešivec,"160,165,166",áno
Pod lesom,183,áno
Podbiel,181,
Podbrezová,172,
Podhorany pri Kežmarku,185,áno
Podhorany pri Lužiankach,141,
Podhájska,150,áno
Podkriváň,160,
Podolínec,185,áno
Podrečany,160,áno
Podtureň,180,áno
Podunajské Biskupice,131,
Podvysoká,128,áno
Podzámčok,153,
Pohorelská Maša,172,
Pohorelá,172,áno
Pohronská Polhora,174,
Pohronský Ruskov,152,
Polomka,172,
Polomka-Hámor,172,
Poltár,162,áno
Poluvsie,126,
Poprad-Spišská Sobota,185,
Poprad-Tatry,"120,180,183, 185",áno
Poprad-Tatry TEŽ,183,
Popradské Pleso,183,áno
Poriadie,121,áno
Porúbka,126,
Považany,120,áno
Považská Bystrica,120,áno
Považská Teplá,120,
Pozba,150,áno
Počkaj,168,
Prakovce,173,áno
Prakovce zastávka,173,áno
Pravenec,144,áno
Predajná,172,
Predmier,120,
Preseľany nad Nitrou zastávka,140,
Prešov,"188,193,194",áno
Prešov mesto,188,áno
Pribeník,190,áno
Pribeta,130,áno
Priekopa,170,áno
Prievidza,"140,144,145",áno
Pruské,124,
Príbovce-Rakovo,170,áno
Prša,160,
Psiare,150,
Pstruša,160,
Pusté Pole,188,áno
Pusté Úľany,130,áno
Pusté Čemerné,191,áno
Párnica,181,áno
Píla,160,
Púchov,"120,125,180,",
Púchov zastávka,125,
Púchov závody,125,
Radava,150,
Radošina,142,
Radvaň,170,áno
Radvaň nad Laborcom,191,áno
Radzovce,164,
Rajec,126,
Rajecké Teplice,126,
Rakovec,173,áno
Raková,128,áno
Rapovce,161,áno
Raslavice,194,áno
Reca,130,áno
Remäta,145,áno
Revúca,165,áno
Revúcka Lehota,165,áno
Richnava,180,áno
Riečka,160,áno
Rimavská Baňa,174,
Rimavská Píla,174,
Rimavská Seč,160,
Rimavská Sobota,174,
Rimavské Brezovo,174,
Rimavské Janovce,174,
Rimavské Janovce obec,174,
Rimavské Zalužany,174,
Rišňovce,141,
